statn_nm,direction,time_band,svc_type,plan_p50_sec,plan_n
마곡나루,하행,출근,완행,515,19
마곡나루,하행,출근,전체,200,38
마곡나루,하행,퇴근,급행,482,20
마곡나루,하행,퇴근,완행,500,20
마곡나루,하행,퇴근,전체,210,40
봉은사,상행,밤,급행,660,22
봉은사,상행,밤,완행,660,28
봉은사,상행,밤,전체,295,51
봉은사,상행,새벽,급행,720,6
봉은사,상행,새벽,완행,730,7
봉은사,상행,새벽,전체,385,13
봉은사,상행,점심,급행,660,38
봉은사,상행,점심,완행,660,39
봉은사,상행,점심,전체,300,77
봉은사,상행,출근,급행,380,24
봉은사,상행,출근,완행,380,25
봉은사,상행,출근,전체,205,49
봉은사,상행,퇴근,급행,410,25
봉은사,상행,퇴근,완행,410,25
봉은사,상행,퇴근,전체,225,50
봉은사,하행,밤,급행,660,27
봉은사,하행,밤,완행,660,30
봉은사,하행,밤,전체,230,58
봉은사,하행,새벽,급행,780,5
봉은사,하행,새벽,완행,780,7
봉은사,하행,새벽,전체,520,12
봉은사,하행,점심,급행,660,39
봉은사,하행,점심,완행,660,40
봉은사,하행,점심,전체,240,79
봉은사,하행,출근,급행,380,22
봉은사,하행,출근,완행,380,24
봉은사,하행,출근,전체,205,46
봉은사,하행,퇴근,급행,410,22
봉은사,하행,퇴근,완행,410,23
봉은사,하행,퇴근,전체,215,45
사평,상행,밤,완행,660,28
사평,상행,밤,전체,660,28
사평,상행,새벽,완행,730,7
사평,상행,새벽,전체,730,7
사평,상행,점심,완행,660,39
사평,상행,점심,전체,660,39
사평,상행,출근,완행,380,25
사평,상행,출근,전체,380,25
사평,상행,퇴근,완행,410,25
사평,상행,퇴근,전체,410,25
사평,하행,밤,완행,660,32
사평,하행,밤,전체,660,32
사평,하행,새벽,완행,780,7
사평,하행,새벽,전체,780,7
사평,하행,점심,완행,660,42
사평,하행,점심,전체,660,42
사평,하행,출근,완행,380,23
사평,하행,출근,전체,380,23
사평,하행,퇴근,완행,410,22
사평,하행,퇴근,전체,410,22
삼성중앙,상행,밤,완행,660,28
삼성중앙,상행,밤,전체,660,28
삼성중앙,상행,새벽,완행,725,8
삼성중앙,상행,새벽,전체,725,8
삼성중앙,상행,점심,완행,660,38
삼성중앙,상행,점심,전체,660,38
삼성중앙,상행,출근,완행,380,25
삼성중앙,상행,출근,전체,380,25
삼성중앙,상행,퇴근,완행,410,25
삼성중앙,상행,퇴근,전체,410,25
삼성중앙,하행,밤,완행,660,30
삼성중앙,하행,밤,전체,660,30
삼성중앙,하행,새벽,완행,780,7
삼성중앙,하행,새벽,전체,780,7
삼성중앙,하행,점심,완행,660,39
삼성중앙,하행,점심,전체,660,39
삼성중앙,하행,출근,완행,380,24
삼성중앙,하행,출근,전체,380,24
삼성중앙,하행,퇴근,완행,410,24
삼성중앙,하행,퇴근,전체,410,24
삼전,상행,밤,완행,660,29
삼전,상행,밤,전체,660,29
삼전,상행,새벽,완행,728,8
삼전,상행,새벽,전체,728,8
삼전,상행,점심,완행,660,39
삼전,상행,점심,전체,660,39
삼전,상행,출근,완행,380,25
삼전,상행,출근,전체,380,25
삼전,상행,퇴근,완행,410,24
삼전,상행,퇴근,전체,410,24
삼전,하행,밤,완행,660,30
삼전,하행,밤,전체,660,30
삼전,하행,새벽,완행,780,7
삼전,하행,새벽,전체,780,7
삼전,하행,점심,완행,660,39
삼전,하행,점심,전체,660,39
삼전,하행,출근,완행,380,25
삼전,하행,출근,전체,380,25
삼전,하행,퇴근,완행,410,24
삼전,하행,퇴근,전체,410,24
샛강,상행,밤,완행,660,26
샛강,상행,밤,전체,660,26
샛강,상행,새벽,완행,720,9
샛강,상행,새벽,전체,720,9
샛강,상행,점심,완행,660,40
샛강,상행,점심,전체,660,40
샛강,상행,출근,완행,380,24
샛강,상행,출근,전체,380,24
샛강,상행,퇴근,완행,410,25
샛강,상행,퇴근,전체,410,25
샛강,하행,밤,완행,605,33
샛강,하행,밤,전체,605,33
샛강,하행,새벽,완행,780,7
샛강,하행,새벽,전체,780,7
샛강,하행,점심,완행,660,43
샛강,하행,점심,전체,660,43
샛강,하행,출근,완행,410,21
샛강,하행,출근,전체,410,21
샛강,하행,퇴근,완행,445,22
샛강,하행,퇴근,전체,445,22
석촌,상행,밤,급행,660,23
석촌,상행,밤,완행,660,28
석촌,상행,밤,전체,378,52
석촌,상행,새벽,급행,720,5
석촌,상행,새벽,완행,728,8
석촌,상행,새벽,전체,515,13
석촌,상행,점심,급행,660,38
석촌,상행,점심,완행,660,38
석촌,상행,점심,전체,285,76
석촌,상행,출근,급행,380,24
석촌,상행,출근,완행,380,25
석촌,상행,출근,전체,245,49
석촌,상행,퇴근,급행,410,25
석촌,상행,퇴근,완행,410,25
석촌,상행,퇴근,전체,228,50
석촌,하행,밤,급행,660,26
석촌,하행,밤,완행,660,30
석촌,하행,밤,전체,320,57
석촌,하행,새벽,급행,780,5
